x y time dx dy dt dr^2 TotalDisplacementSquared
129 106 0.983 0 0 0.164 0 0
129 106 1.147 0 0 0.164 0 0
132 111 1.638 3 5 0.491 34 34
131.527586206897 111 1.802 -0.472413793103442 0 0.164 0.223174791914382 31.3886920332937
131.535836177474 111 1.966 0.00824997057785026 0 0.164 6.8062014535395E-05 31.430465118988
131.534013605442 111 2.13 -0.00182257203223912 0 0.164 3.32176881270025E-06 31.421224952566
16
136 102 0 0 0 0 0 0
136 102 0.164 0 0 0.164 0 0
135.5 102 0.327 -0.5 0 0.163 0.25 0.25
136 102 0.491 0.5 0 0.164 0.25 0
135.498113207547 102 0.655 -0.501886792452837 0 0.164 0.251890352438597 0.251890352438597
136 102 0.819 0.501886792452837 0 0.164 0.251890352438597 0
136 102 0.983 0 0 0.164 0 0
136 102 1.146 0 0 0.163 0 0
136 102 1.31 0 0 0.164 0 0
135.5 102 1.474 -0.5 0 0.164 0.25 0.25
136 102 1.638 0.5 0 0.164 0.25 0
136 102 1.802 0 0 0.164 0 0
136 101.485294117647 1.965 0 -0.514705882352942 0.163 0.264922145328721 0.264922145328721
136 101 2.129 0 -0.485294117647058 0.164 0.235510380622837 1
136 101 2.293 0 0 0.164 0 1
136 101 2.457 0 0 0.164 0 1
13
162 92 0 0 0 0 0 0
162 92 0.327 0 0 0.327 0 0
162 92 0.491 0 0 0.164 0 0
162 92 0.655 0 0 0.164 0 0
162 92 0.819 0 0 0.164 0 0
162 92 0.982 0 0 0.163 0 0
162 92 1.146 0 0 0.164 0 0
162 92 1.31 0 0 0.164 0 0
163 95 1.474 1 3 0.164 10 10
163 95 1.638 0 0 0.164 0 10
163 95 1.801 0 0 0.163 0 10
163 95 1.965 0 0 0.164 0 10
164 95 2.293 1 0 0.328 1 13
16
136 102 0 0 0 0 0 0
133 100 0.164 -3 -2 0.164 13 13
133 100 0.327 0 0 0.163 0 13
133 100 0.491 0 0 0.164 0 13
133 100 0.655 0 0 0.164 0 13
133 100 0.819 0 0 0.164 0 13
133 100 0.983 0 0 0.164 0 13
133 100 1.146 0 0 0.163 0 13
133 100 1.31 0 0 0.164 0 13
133 100 1.474 0 0 0.164 0 13
133 100 1.638 0 0 0.164 0 13
133 100 1.802 0 0 0.164 0 13
133 100 1.965 0 0 0.163 0 13
133 100 2.129 0 0 0.164 0 13
133 100 2.293 0 0 0.164 0 13
133 100 2.457 0 0 0.164 0 13
11
11 89 0 0 0 0 0 0
11 89 0.492 0 0 0.492 0 0
9 89 0.656 -2 0 0.164 4 4
9 89 0.819 0 0 0.163 0 4
9 89 0.983 0 0 0.164 0 4
7 88 1.147 -2 -1 0.164 5 17
7 88 1.311 0 0 0.164 0 17
7 88 1.475 0 0 0.164 0 17
7 88 1.638 0 0 0.163 0 17
7 88 1.802 0 0 0.164 0 17
9 89 2.293 2 1 0.491 5 4
11
77 181 0 0 0 0 0 0
75 181 0.492 -2 0 0.492 4 4
75 181 0.656 0 0 0.164 0 4
75 181 0.819 0 0 0.163 0 4
75 181 0.983 0 0 0.164 0 4
75 181 1.147 0 0 0.164 0 4
75 181 1.311 0 0 0.164 0 4
77 181 1.638 2 0 0.327 4 0
76.5076923076923 181 1.802 -0.492307692307691 0 0.164 0.242366863905324 0.242366863905324
77 181 1.966 0.492307692307691 0 0.164 0.242366863905324 0
77 181 2.293 0 0 0.327 0 0
14
27 77 0 0 0 0 0 0
27 77 0.164 0 0 0.164 0 0
27 77 0.327 0 0 0.163 0 0
27 77 0.491 0 0 0.164 0 0
27 77 0.655 0 0 0.164 0 0
27 77 0.983 0 0 0.328 0 0
27 77 1.31 0 0 0.327 0 0
27 77 1.474 0 0 0.164 0 0
27 77 1.802 0 0 0.328 0 0
23 75 2.129 -4 -2 0.327 20 20
23 75 2.293 0 0 0.164 0 20
23 72 2.457 0 -3 0.164 9 41
23 72 2.62 0 0 0.163 0 41
23 72 2.784 0 0 0.164 0 41
13
54 39 0 0 0 0 0 0
54 39 0.327 0 0 0.327 0 0
54 39 0.491 0 0 0.164 0 0
54 39 0.655 0 0 0.164 0 0
54 39 0.819 0 0 0.164 0 0
54 39 1.31 0 0 0.491 0 0
54 39 1.474 0 0 0.164 0 0
54 39 1.638 0 0 0.164 0 0
54 39 2.129 0 0 0.491 0 0
54 39 2.293 0 0 0.164 0 0
54 39 2.457 0 0 0.164 0 0
54 39 2.62 0 0 0.163 0 0
54 39 2.784 0 0 0.164 0 0
13
24 153 0 0 0 0 0 0
24 153 0.164 0 0 0.164 0 0
26 150 0.328 2 -3 0.164 13 13
26 150 0.491 0 0 0.163 0 13
26 150 0.655 0 0 0.164 0 13
26 150 0.819 0 0 0.164 0 13
26 150 0.983 0 0 0.164 0 13
26 150 1.147 0 0 0.164 0 13
26 150 1.31 0 0 0.163 0 13
24 153 1.474 -2 3 0.164 13 0
24 153 1.638 0 0 0.164 0 0
24 153 2.129 0 0 0.491 0 0
24 153 2.293 0 0 0.164 0 0
19
118.670886075949 32.3417721518987 0 0 0 0 0 0
118.670886075949 32.3417721518987 0.164 0 0 0.164 0 0
118.672588832487 32.3426395939086 0.327 0.00170275653793794 0.000867442009898411 0.163 3.65183546802701E-06 3.65183546802701E-06
118.671717171717 32.3434343434343 0.491 -0.000871660770130234 0.000794749525717009 0.164 1.39141930681144E-06 3.45360087633944E-06
118.670886075949 32.3417721518987 0.655 -0.00083109576780771 -0.00166219153561542 0.164 3.45360087633944E-06 0
118.670918367347 32.3418367346939 0.819 3.22913975736583E-05 6.45827951473166E-05 0.164 5.21367178630032E-09 5.21367178630032E-09
118.672588832487 32.3426395939086 0.983 0.00167046514036429 0.000802859214751095 0.164 3.43503670388302E-06 3.65183546802701E-06
118.672588832487 32.3426395939086 1.146 0 0 0.163 0 3.65183546802701E-06
118.670918367347 32.3418367346939 1.31 -0.00167046514036429 -0.000802859214751095 0.164 3.43503670388302E-06 5.21367178630032E-09
118.671755725191 32.3409669211196 1.474 0.00083735784389205 -0.000869813574283285 0.164 1.45774381273501E-06 1.4046864108498E-06
118.672588832487 32.3426395939086 1.638 0.000833107296472235 0.00167267278903438 0.164 3.49190202661133E-06 3.65183546802701E-06
118.671755725191 32.3435114503817 1.802 -0.000833107296472235 0.000871856473047217 0.164 1.45420147702961E-06 3.78144901595885E-06
118.672588832487 32.3426395939086 1.965 0.000833107296472235 -0.000871856473047217 0.163 1.45420147702961E-06 3.65183546802701E-06
118.672588832487 32.3426395939086 2.129 0 0 0.164 0 3.65183546802701E-06
118.671794871795 32.3435897435897 2.293 -0.00079396069243387 0.000950149681116841 0.164 1.53315799765651E-06 4.12954944405315E-06
118.6726342711 32.3427109974425 2.457 0.000839399304865651 -0.000878746147293441 0.164 1.476785984392E-06 3.93761723874253E-06
118.5 32 2.62 -0.172634271099739 -0.342710997442452 0.163 0.147253419326139 0.146010254766862
118 32 2.784 -0.5 0 0.164 0.25 0.566896330716231
116 32 2.948 -2 0 0.164 4 7.25044063451371
17
174 153 0 0 0 0 0 0
174 153 0.164 0 0 0.164 0 0
174 153 0.327 0 0 0.163 0 0
174 153 0.491 0 0 0.164 0 0
174 153 0.655 0 0 0.164 0 0
174 153 0.819 0 0 0.164 0 0
174 153 1.146 0 0 0.327 0 0
174 153 1.31 0 0 0.164 0 0
174 153 1.474 0 0 0.164 0 0
174 153 1.638 0 0 0.164 0 0
174 153 1.802 0 0 0.164 0 0
174 153 1.965 0 0 0.163 0 0
174 153 2.129 0 0 0.164 0 0
174 153 2.457 0 0 0.328 0 0
174 153 2.62 0 0 0.163 0 0
174 153 2.784 0 0 0.164 0 0
174 153 2.948 0 0 0.164 0 0
19
11.5057471264368 129 0 0 0 0 0 0
11 129 0.164 -0.505747126436782 0 0.164 0.255780155899063 0.255780155899063
11 129 0.327 0 0 0.163 0 0.255780155899063
11 129 0.491 0 0 0.164 0 0.255780155899063
11 129 0.655 0 0 0.164 0 0.255780155899063
11.515037593985 129 0.819 0.515037593984962 0 0.164 0.265263723217819 8.6312787263781E-05
11.5095057034221 129 0.983 -0.00553189056290826 0 0.164 3.06018131999935E-05 1.41269009542125E-05
11 129 1.146 -0.509505703422054 0 0.163 0.259596061819602 0.255780155899063
11.5019455252918 129 1.31 0.501945525291829 0 0.164 0.25194931036049 1.4452171265312E-05
11 129 1.474 -0.501945525291829 0 0.164 0.25194931036049 0.255780155899063
11 129 1.638 0 0 0.164 0 0.255780155899063
11 129 1.802 0 0 0.164 0 0.255780155899063
11 129 1.965 0 0 0.163 0 0.255780155899063
11 129 2.129 0 0 0.164 0 0.255780155899063
11.5076923076923 129 2.457 0.507692307692308 0 0.328 0.257751479289941 3.78373011684714E-06
11.5019455252918 129 2.62 -0.00574678240047888 0 0.163 3.30255079584538E-05 1.4452171265312E-05
11 129 2.784 -0.501945525291829 0 0.164 0.25194931036049 0.255780155899063
11 129 2.948 0 0 0.164 0 0.255780155899063
11 129 3.112 0 0 0.164 0 0.255780155899063
11
54 18.5376344086022 0 0 0 0 0 0
54.3226600985222 18.6822660098522 0.164 0.322660098522171 0.144631601250065 0.164 0.125027839258495 0.125027839258495
54.3390243902439 18.6853658536585 0.328 0.0163642917217288 0.00309984380631789 0.164 0.00027739907517741 0.136762117038695
54.3333333333333 18.6814814814815 0.492 -0.00569105691056393 -0.00388437217705473 0.164 4.74764759691544E-05 0.131803091487064
54 18 0.655 -0.333333333333336 -0.68148148148148 0.163 0.575528120713306 0.289050757312986
54 18.5038461538462 0.819 0 0.503846153846155 0.164 0.253860946745563 0.00114164615945616
54 18 0.983 0 -0.503846153846155 0.164 0.253860946745563 0.289050757312986
54 18 1.147 0 0 0.164 0 0.289050757312986
54 18 1.31 0 0 0.163 0 0.289050757312986
54 18 1.474 0 0 0.164 0 0.289050757312986
54 18 1.802 0 0 0.328 0 0.289050757312986
20
111 74.4892857142857 0 0 0 0 0 0
110.66985645933 74.6578947368421 0.164 -0.330143540669852 0.168609022556396 0.164 0.137423759933449 0.137423759933449
110.685503685504 74.6486486486486 0.327 0.0156472261735416 -0.00924608819346417 0.163 0.000330325833807284 0.124304476680526
110.812589413448 75.4105865522175 0.491 0.127085727944092 0.761937903568807 0.164 0.596700151141908 0.88391796192557
110.809455587393 75.4111747851003 0.655 -0.00313382605523316 0.000588232882833495 0.164 1.01668836689048E-05 0.886186632063274
110.803724928367 75.4083094555874 0.819 -0.00573065902578662 -0.00286532951290042 0.164 4.10505660873278E-05 0.883128540820755
110.810344827586 75.4094827586207 0.983 0.00661989921944439 0.00117330303329766 0.164 4.51997056835459E-05 0.882731684826119
110.791023842917 75.3997194950912 1.146 -0.0193209846689513 -0.00976326352952128 0.163 0.00046862176332473 0.872560703460775
110.79125528914 75.4019746121298 1.31 0.000231446222372256 0.00225511703860093 0.164 5.13912021163861E-06 0.876575378559966
110.791842475387 75.4036568213783 1.474 0.000587186247145155 0.0016822092485711 0.164 3.17461564481455E-06 0.87940407653889
110.788051209104 75.3926031294452 1.638 -0.00379126628293136 -0.0110536919330997 0.164 0.000136557805379965 0.860904642492821
110.653395784543 74.6651053864169 1.802 -0.13465542456052 -0.727497743028366 0.164 0.54738504947494 0.151047039280647
110.653395784543 74.6651053864169 1.965 0 0 0.163 0 0.151047039280647
110.652680652681 74.6666666666667 2.129 -0.000715131862662588 0.00156128024980262 0.164 2.949009599419E-06 0.152094731289909
110.653301886792 74.6674528301887 2.293 0.000621234111790159 0.00078616352200811 0.164 1.0039849049879E-06 0.151943102890857
110.654117647059 74.6658823529412 2.457 0.000815760266377197 -0.00157047724749759 0.164 3.13186359710741E-06 0.150820974860533
110.652582159624 74.6666666666667 2.62 -0.00153548743440979 0.000784313725489483 0.163 2.97286968122154E-06 0.152163158078811
110.652582159624 74.6666666666667 2.784 0 0 0.164 0 0.152163158078811
110.652582159624 74.6666666666667 2.948 0 0 0.164 0 0.152163158078811
110.654117647059 74.6658823529412 3.112 0.00153548743440979 -0.000784313725489483 0.164 2.97286968122154E-06 0.150820974860533
18
124 191 0 0 0 0 0 0
124 191 0.164 0 0 0.164 0 0
124 191 0.491 0 0 0.327 0 0
124 191 0.655 0 0 0.164 0 0
124 191 0.819 0 0 0.164 0 0
124 191 0.983 0 0 0.164 0 0
124 191 1.146 0 0 0.163 0 0
124 191 1.31 0 0 0.164 0 0
124 191 1.474 0 0 0.164 0 0
124 191 1.638 0 0 0.164 0 0
124 191 1.802 0 0 0.164 0 0
124 191 1.965 0 0 0.163 0 0
124 191 2.129 0 0 0.164 0 0
122 186 2.457 -2 -5 0.328 29 29
124 186 2.62 2 0 0.163 4 25
124 186 2.784 0 0 0.164 0 25
124 186 2.948 0 0 0.164 0 25
124 186 3.112 0 0 0.164 0 25
12
43 41 0 0 0 0 0 0
43 41 0.164 0 0 0.164 0 0
42 36 0.492 -1 -5 0.328 26 26
42 36 0.819 0 0 0.327 0 26
42 36 0.983 0 0 0.164 0 26
42 36 1.147 0 0 0.164 0 26
42 36 1.475 0 0 0.328 0 26
43 41 1.966 1 5 0.491 26 0
43 41 2.13 0 0 0.164 0 0
43 41 2.293 0 0 0.163 0 0
40 39 2.621 -3 -2 0.328 13 13
41 37 2.785 1 -2 0.164 5 20
21
120 115 0 0 0 0 0 0
120 115 0.164 0 0 0.164 0 0
120 115 0.327 0 0 0.163 0 0
120 115 0.491 0 0 0.164 0 0
120 115 0.655 0 0 0.164 0 0
120 115 0.819 0 0 0.164 0 0
120 115 0.983 0 0 0.164 0 0
120 115 1.146 0 0 0.163 0 0
117 115 1.31 -3 0 0.164 9 9
117 115 1.474 0 0 0.164 0 9
117 115 1.638 0 0 0.164 0 9
117 115 1.802 0 0 0.164 0 9
117 115 1.965 0 0 0.163 0 9
117 115 2.129 0 0 0.164 0 9
117 115 2.293 0 0 0.164 0 9
117.321428571429 114.325892857143 2.457 0.321428571428569 -0.674107142857139 0.164 0.557736766581626 7.62916533801021
117.322147651007 114.326621923937 2.62 0.000719079578146875 0.000729066794505684 0.163 1.04861383055868E-06 7.62433123633066
117.319910514541 114.326621923937 2.784 -0.00223713646532531 0 0.164 5.00477956448821E-06 7.63631768338761
117.321428571429 114.325892857143 2.948 0.00151805688717843 -0.000729066794505684 0.164 2.83603510356066E-06 7.62916533801021
117.322869955157 114.325112107623 3.112 0.00144138372837688 -0.000780749519549317 0.164 2.68715686470612E-06 7.62249894427802
117 115 3.276 -0.322869955156946 0.674887892376688 0.164 0.559718675219697 9
20
139.988614800759 46.2447817836812 0 0 0 0 0 0
139.979704797048 46.2380073800738 0.164 -0.00891000371106543 -0.00677440360740889 0.164 0.000125280710367274 0.000125280710367274
139.979704797048 46.2380073800738 0.328 0 0 0.164 0 0.000125280710367274
139.979704797048 46.2380073800738 0.492 0 0 0.164 0 0.000125280710367274
139.97962962963 46.237037037037 0.655 -7.51674183163686E-05 -0.00097034303676935 0.163 9.47215749783112E-07 0.000140714400806786
139.979742173112 46.2394106813996 0.819 0.000112543482686078 0.00237364436259924 0.164 5.64685359559425E-06 0.000107572261076092
139.979704797048 46.2380073800738 0.983 -3.73760643697096E-05 -0.00140330132582989 0.164 1.97065158126369E-06 0.000125280710367274
139.981447124304 46.2374768089054 1.147 0.00174232725629508 -0.000530571168425809 0.164 3.31721003279348E-06 0.00010473824223585
139.981238273921 46.2401500938086 1.311 -0.000208850383046411 0.00267328490325269 0.164 7.19007065645739E-06 7.58656992648095E-05
139.985102420857 46.2402234636872 1.474 0.00386414693539905 7.33698785211345E-05 0.163 1.49370146774281E-05 3.31150937471629E-05
139.998087954111 46.244741873805 1.638 0.0129855332542945 0.00451841011781795 0.164 0.000189040103891189 8.97422272263967E-05
139.992438563327 46.241965973535 1.802 -0.00564939078387283 -0.00277590026999519 0.164 3.96212385378667E-05 2.25499469561259E-05
141 46 1.966 1.00756143667297 -0.241965973534974 0.164 1.07372758101923 1.08281814286586
141 46 2.13 0 0 0.164 0 1.08281814286586
141 46 2.293 0 0 0.163 0 1.08281814286586
141 46 2.457 0 0 0.164 0 1.08281814286586
141 46 2.621 0 0 0.164 0 1.08281814286586
140 44 3.112 -1 -2 0.491 5 5.03917487910876
142 49 3.44 2 5 0.328 29 11.6368978392605
142 49 3.604 0 0 0.164 0 11.6368978392605
21
119 112 0 0 0 0 0 0
119 112 0.164 0 0 0.164 0 0
119 112 0.327 0 0 0.163 0 0
119 112 0.491 0 0 0.164 0 0
119 112 0.655 0 0 0.164 0 0
119 112 0.819 0 0 0.164 0 0
119 112 0.983 0 0 0.164 0 0
